feature,importance
xpdiffat25,0.1582348065572024
golddiffat25,0.12401768003944434
golddiffat20,0.08081988252180322
goldat25,0.0633806402497998
xpdiffat20,0.05111930734015534
firsttothreetowers,0.04851115604476204
xpat25,0.041284452745520575
xpdiffat15,0.03721463729277234
gamelength,0.03369262117285875
csdiffat25,0.028870311226079425
goldat20,0.02646667528496748
csdiffat20,0.025052164579026277
xpdiffat10,0.02298076856004561
golddiffat15,0.019232760875422666
xpat20,0.01843635493554992
csdiffat15,0.01836305357033593
xpat15,0.018032293213938715
goldat15,0.017418825248150277
csdiffat10,0.01690318332767556
deathsat25,0.01637120407716846
assistsat25,0.01552049885583963
golddiffat10,0.01426681663839946
xpat10,0.014231969664545728
csat15,0.014116255922362025
csat25,0.01392688878591862
goldat10,0.01358787322763992
csat10,0.013428667585514363
teamname,0.012554886736535953
csat20,0.011901525679084497
killsat25,0.010061838041480635
